"id","code","name","definition"
hc_base.subs_code_49010003,"49010003","Paraprotein","Paraprotein (substance)"
hc_base.subs_code_395744006,"395744006","Buserelin","Buserelin (substance)"
hc_base.subs_code_709049009,"709049009","Defensin beta","Defensin beta (substance)"
hc_base.subs_code_37276002,"37276002","Polypeptide hormone","Polypeptide hormone (substance)"
hc_base.subs_code_715187001,"715187001","Sonidegib","Sonidegib (substance)"
hc_base.subs_code_710807004,"710807004","Teduglutide","Teduglutide (substance)"
hc_base.subs_code_425438001,"425438001","Teriparatide","Teriparatide (substance)"
hc_base.subs_code_66384003,"66384003","Isophane insulin","Isophane insulin (substance)"
hc_base.subs_code_372630008,"372630008","Protamine","Protamine (substance)"
hc_base.subs_code_53235000,"53235000","Protamine zinc insulin","Protamine zinc insulin (substance)"
hc_base.subs_code_67866001,"67866001","Insulin","Insulin (substance)"
hc_base.subs_code_102752003,"102752003","Deoxypyridinoline","Deoxypyridinoline (substance)"
hc_base.subs_code_706931007,"706931007","Free pyridinoline","Free pyridinoline (substance)"
